#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D28C
#Date Time: 2023-02-25 12:02:52.959
#Sample rate: 800Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 mV/div Offset: -2.615 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Sweep
#Type: Square
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: DC
#Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

#49E sensor
#Nominal sensitivity: 1.6 mV/GS
#PCB Coil Drive: 1.6A, 5Hz, full stepping
#
Time (s),Channel 1 (V)
3.54875,2.61223283026336
3.55,2.605829764057999
3.55125,2.604144746635535
3.5525,2.605492760573506
3.55375,2.605155757089013
3.555,2.606166767542491
3.55625,2.604144746635535
3.5575,2.603133736182057
3.55875,2.603133736182057
3.56,2.60347073966655
3.56125,2.60347073966655
3.5625,2.604481750120028
3.56375,2.605829764057999
3.565,2.60347073966655
3.56625,2.603133736182057
3.5675,2.60347073966655
3.56875,2.605492760573506
3.57,2.606840774511477
3.57125,2.608188788449447
3.5725,2.60717777799597
3.57375,2.605492760573506
3.575,2.605492760573506
3.57625,2.605492760573506
3.5775,2.606166767542491
3.57875,2.605829764057999
3.58,2.607514781480462
3.58125,2.606166767542491
3.5825,2.605155757089013
3.58375,2.605492760573506
3.585,2.60717777799597
3.58625,2.607514781480462
3.5875,2.60717777799597
3.58875,2.607851784964955
3.59,2.605492760573506
3.59125,2.605492760573506
3.5925,2.605492760573506
3.59375,2.605492760573506
3.595,2.605492760573506
3.59625,2.607514781480462
3.5975,2.606840774511477
3.59875,2.605492760573506
3.6,2.605155757089013
3.60125,2.606503771026984
3.6025,2.60717777799597
3.60375,2.60717777799597
3.605,2.608188788449447
3.60625,2.606166767542491
3.6075,2.605155757089013
3.60875,2.605492760573506
3.61,2.605492760573506
3.61125,2.605492760573506
3.6125,2.606503771026984
3.61375,2.60852579193394
3.615,2.605829764057999
3.61625,2.605155757089013
3.6175,2.605492760573506
3.61875,2.60717777799597
3.62,2.60717777799597
3.62125,2.608188788449447
3.6225,2.60717777799597
3.62375,2.605492760573506
3.625,2.605155757089013
3.62625,2.605829764057999
3.6275,2.605829764057999
3.62875,2.605492760573506
3.63,2.607514781480462
3.63125,2.606503771026984
3.6325,2.605492760573506
3.63375,2.605155757089013
3.635,2.606840774511477
3.63625,2.607514781480462
3.6375,2.60717777799597
3.63875,2.60852579193394
3.64,2.605492760573506
3.64125,2.605155757089013
3.6425,2.605829764057999
3.64375,2.605492760573506
3.645,2.605492760573506
3.64625,2.606840774511477
3.6475,2.60717777799597
3.64875,2.605829764057999
3.65,2.611558823294374
3.65125,2.615265861623794
3.6525,2.616613875561765
3.65375,2.616276872077272
3.655,2.617624886015243
3.65625,2.615602865108287
3.6575,2.614591854654809
3.65875,2.614591854654809
3.66,2.614591854654809
3.66125,2.614928858139301
3.6625,2.615265861623794
3.66375,2.615939868592779
3.665,2.614591854654809
3.66625,2.614591854654809
3.6675,2.614591854654809
3.66875,2.615939868592779
3.67,2.616276872077272
3.67125,2.615939868592779
3.6725,2.616276872077272
3.67375,2.614254851170316
3.675,2.614591854654809
3.67625,2.614591854654809
3.6775,2.614591854654809
3.67875,2.614591854654809
3.68,2.616276872077272
3.68125,2.615602865108287
3.6825,2.614591854654809
3.68375,2.614254851170316
3.685,2.615939868592779
3.68625,2.616276872077272
3.6875,2.616276872077272
3.68875,2.61728788253075
3.69,2.614591854654809
3.69125,2.614591854654809
3.6925,2.614254851170316
3.69375,2.614928858139301
3.695,2.614928858139301
3.69625,2.615602865108287
3.6975,2.616276872077272
3.69875,2.614591854654809
3.7,2.614254851170316
3.70125,2.615265861623794
3.7025,2.616276872077272
3.70375,2.616276872077272
3.705,2.616613875561765
3.70625,2.615602865108287
3.7075,2.614591854654809
3.70875,2.614591854654809
3.71,2.614591854654809
3.71125,2.614928858139301
3.7125,2.614928858139301
3.71375,2.616613875561765
3.715,2.614928858139301
3.71625,2.614254851170316
3.7175,2.614591854654809
